time 	 LH 	 RH
000.905	76.8288	23.1712	
000.968	77.9801	22.0199	
001.032	79.0668	20.9332	
001.092	80.1090	19.8910	
001.154	81.0945	18.9055	
001.218	82.0391	17.9609	
001.283	82.9370	17.0629	
001.338	83.7902	16.2098	
001.403	84.6006	15.3994	
001.466	85.3706	14.6294	
001.531	86.1021	13.8979	
001.591	86.7970	13.2030	
001.656	87.4571	12.5429	
001.721	88.0842	11.9158	
001.785	88.6800	11.3200	
001.839	89.2460	10.7540	
001.905	89.7837	10.2163	
001.968	90.2944	9.7056	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.058	50.0000	50.0000	
000.062	52.4988	47.5012	
000.137	54.8737	45.1263	
000.197	57.1300	42.8700	
000.261	59.2733	40.7267	
000.322	61.2810	38.7190	
000.388	63.2095	36.7905	
000.450	65.0436	34.9564	
000.514	66.7747	33.2253	
000.572	68.4120	31.5880	
000.638	69.9884	30.0116	
000.698	71.4883	28.5117	
000.762	72.9121	27.0879	
000.822	74.2460	25.7540	
000.886	75.4904	24.5096	
000.950	76.6982	23.3018	
001.015	77.8255	22.1746	
001.070	78.8824	21.1175	
001.138	79.9167	20.0833	
001.199	80.9186	19.0814	
001.262	81.8574	18.1426	
001.322	82.7534	17.2466	
001.381	83.5994	16.4006	
001.437	84.4133	15.5867	
001.501	85.1534	14.8466	
001.557	85.8944	14.1056	
001.625	86.5993	13.4007	
001.696	87.2690	12.7310	
001.765	87.9055	12.0945	
001.824	88.5102	11.4898	
001.887	89.0847	10.9153	
001.950	89.6305	10.3695	
002.015	90.1490	9.8510	
7693	 7693	 7693 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.068	50.0000	50.0000	
000.085	52.5000	47.5000	
000.142	54.8750	45.1250	
000.201	57.1312	42.8688	
000.267	59.2747	40.7253	
000.329	61.3110	38.6890	
000.392	63.2454	36.7546	
000.451	65.0831	34.9169	
000.514	66.8290	33.1710	
000.575	68.4875	31.5125	
000.639	70.0631	29.9369	
000.701	71.5599	28.4400	
000.756	72.9814	27.0186	
000.829	74.3255	25.6745	
000.893	75.5926	24.4074	
000.948	76.8096	23.1904	
001.017	77.9659	22.0341	
001.076	79.0657	20.9343	
001.142	80.1101	19.8899	
001.201	81.1031	18.8969	
001.265	82.0476	17.9524	
001.329	82.9446	17.0554	
001.393	83.7939	16.2061	
001.448	84.6041	15.3959	
001.517	85.3739	14.6261	
001.578	86.1052	13.8948	
001.642	86.7999	13.2001	
001.702	87.4599	12.5401	
001.765	88.0869	11.9131	
001.829	88.6825	11.3175	
001.894	89.2472	10.7528	
001.949	89.7845	10.2155	
002.017	90.2952	9.7048	
7702	 7702	 7702 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.033	50.0000	50.0000	
