time 	 LH 	 RH
006.582	51.7996	48.2004	
006.647	52.5324	47.4676	
006.708	52.9486	47.0514	
006.755	53.9490	46.0510	
006.837	54.8704	45.1296	
006.897	55.1190	44.8810	
006.957	55.2053	44.7947	
007.014	55.9884	44.0116	
7702	 7702	 7702 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.030	50.0000	50.0000	
000.043	47.5884	52.4116	
000.105	45.5111	54.4889	
000.172	43.4322	56.5678	
000.234	41.3890	58.6110	
000.294	39.4904	60.5096	
000.357	37.8170	62.1830	
000.414	36.1949	63.8051	
000.485	34.6697	65.3303	
000.547	33.3920	66.6080	
000.603	32.2251	67.7749	
000.672	31.2858	68.7142	
000.732	30.9804	69.0196	
000.792	30.6299	69.3701	
000.856	30.1186	69.8814	
000.921	29.8599	70.1401	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.026	50.0000	50.0000	
000.036	50.9706	49.0294	
000.089	50.8823	49.1177	
000.149	50.3368	49.6632	
000.212	50.5247	49.4753	
000.276	49.2620	50.7380	
000.340	47.5409	52.4591	
000.400	46.3145	53.6855	
000.461	46.2730	53.7270	
000.543	46.1657	53.8343	
000.604	45.1740	54.8260	
000.649	44.6157	55.3843	
000.728	44.1750	55.8250	
000.792	43.5395	56.4605	
000.841	42.1656	57.8344	
000.901	41.2726	58.7274	
000.976	40.7286	59.2714	
001.043	40.7165	59.2835	
001.089	40.0744	59.9256	
001.165	39.1771	60.8229	
001.228	38.8380	61.1620	
001.286	38.9172	61.0828	
001.353	38.9432	61.0568	
001.415	38.3347	61.6653	
001.474	37.4046	62.5954	
001.541	37.2067	62.7933	
001.601	36.5399	63.4601	
001.663	35.6726	64.3274	
001.727	34.8590	65.1410	
001.791	34.9649	65.0351	
001.854	35.8706	64.1294	
001.913	35.2789	64.7211	
001.973	34.1893	65.8107	
002.042	33.8649	66.1351	
002.103	33.5941	66.4059	
002.164	32.8555	67.1445	
002.227	32.4232	67.5768	
002.290	33.3428	66.6572	
002.352	33.6771	66.3230	
002.412	33.6501	66.3499	
002.473	33.8612	66.1388	
002.542	36.5900	63.4100	
002.602	36.9343	63.0657	
002.662	37.1652	62.8348	
002.726	37.8541	62.1459	
002.790	40.1788	59.8212	
002.855	41.3243	58.6757	
002.905	42.4225	57.5775	
002.975	43.4492	56.5508	
003.029	44.8314	55.1686	
003.104	44.7332	55.2668	
003.163	44.1770	55.8230	
003.225	44.0018	55.9982	
003.325	42.9399	57.0601	
003.352	41.8245	58.1756	
003.414	41.1362	58.8638	
003.474	40.9826	59.0174	
003.541	40.2690	59.7310	
003.602	39.9546	60.0454	
003.662	39.9086	60.0914	
003.726	39.0031	60.9969	
003.790	38.1112	61.8888	
003.854	37.7816	62.2184	
003.913	38.1022	61.8978	
003.973	37.5886	62.4114	
004.028	37.5025	62.4975	
004.101	37.9652	62.0348	
004.161	38.9291	61.0709	
004.226	38.1253	61.8747	
004.291	37.4676	62.5324	
004.354	37.0046	62.9954	
004.413	36.2943	63.7057	
004.474	35.1721	64.8279	
004.541	34.2886	65.7114	
004.602	33.7220	66.2780	
004.662	32.5137	67.4863	
004.726	31.3056	68.6944	
004.790	30.8062	69.1938	
004.854	30.7366	69.2634	
004.914	30.4768	69.5232	
004.975	30.3662	69.6338	
005.041	31.0942	68.9058	
005.101	32.3288	67.6712	
005.163	33.2401	66.7599	
005.226	34.7972	65.2028	
005.290	36.2145	63.7855	
005.353	37.8979	62.1021	
005.413	39.5700	60.4300	
005.473	41.1005	58.8995	
005.541	40.5119	59.4881	
005.601	39.6318	60.3682	
005.662	39.0788	60.9212	
005.725	38.9269	61.0731	
005.790	37.7098	62.2902	
005.853	36.1947	63.8053	
005.913	35.0040	64.9960	
005.973	34.1917	65.8083	
006.041	33.5032	66.4968	
006.094	32.5202	67.4798	
006.152	31.9387	68.0613	
006.226	33.0155	66.9845	
006.290	34.4795	65.5205	
006.353	34.9974	65.0026	
006.415	34.4808	65.5192	
006.474	34.3554	65.6446	
006.544	34.8292	65.1708	
006.602	35.0052	64.9948	
006.663	34.9120	65.0880	
006.728	35.0441	64.9559	
006.791	36.0007	63.9993	
006.845	36.5225	63.4775	
006.915	35.6319	64.3681	
006.961	34.5185	65.4815	
007.028	34.4364	65.5636	
7702	 7702	 7702 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.065	50.0000	50.0000	
000.072	50.9292	49.0708	
000.143	51.9444	48.0556	
000.207	53.2996	46.7004	
000.258	54.3418	45.6582	
000.325	54.8853	45.1147	
000.393	55.0561	44.9439	
000.454	55.4723	44.5277	
000.515	55.6442	44.3558	
000.579	55.9283	44.0717	
000.641	56.7784	43.2216	
000.705	56.9793	43.0207	
000.765	56.0685	43.9315	
000.825	56.3498	43.6502	
000.893	57.3595	42.6405	
000.953	57.3370	42.6630	
001.013	56.5227	43.4773	
001.077	56.3487	43.6513	
001.142	57.2201	42.7799	
001.205	57.1605	42.8395	
001.265	56.1785	43.8215	
001.325	55.6775	44.3225	
001.393	55.7244	44.2756	
001.453	54.4923	45.5077	
001.513	52.8343	47.1657	
001.577	51.9190	48.0810	
001.641	51.7511	48.2489	
001.705	52.0885	47.9115	
001.765	52.3997	47.6003	
001.825	52.6342	47.3658	
